"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"216","pop","Cercopithecus_mona","Mona Monkey","Grenada Island","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,26,NA,NA,NA,NA,NA,5,1,"wp","MFF","MFF",0.8,"groups"," ","yes","AR",4.713,3.13,NA,0.219868142,0.44384682,NA,41.7,22,13.6,11.7,9.9,NA,NA,NA,NA,NA,0.2,0,"Cercopithecoidea"
"218","pop","Cercopithecus_neglectus","De Brazza's' Monkey","Kisere Forest Reserve, Kenya","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MFF","MFF",1,"groups"," ","yes","BOTH",6.627666667,3.7435,5.74,0.964026106,0.371862206,NA,50.83333333,1.2,20.55,4.25,7.6,21.27377102,NA,16.33416665,1.767766953,3.676955262,0,0,"Cercopithecoidea"
"219","pop","Cercopithecus_neglectus","De Brazza's' Monkey","Makokou, Gabon","Forest_Wetland",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,1,"wp","MF","MF",0.714285714,"groups","ff","yes","BOTH",6.627666667,3.7435,5.74,0.964026106,0.371862206,NA,50.83333333,1.2,20.55,4.25,7.6,21.27377102,NA,16.33416665,1.767766953,3.676955262,0.285714286,2,"Cercopithecoidea"
"221","pop","Cercopithecus_nictitans","Greater spot-nosed Monkey","Gashaka-Gumti National Park, Nigeria","Forest_Savanna",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.861666667,4.1204,5.46,0.293867884,0.286828869,NA,49.83333333,34.73333333,24.1,6.55,14.66666667,17.974519,26.61603527,18.40733549,3.464823228,8.082903769,0,0,"Cercopithecoidea"
"222","pop","Cercopithecus_nictitans","Greater spot-nosed Monkey","M'passa, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.861666667,4.1204,5.46,0.293867884,0.286828869,NA,49.83333333,34.73333333,24.1,6.55,14.66666667,17.974519,26.61603527,18.40733549,3.464823228,8.082903769,0,0,"Cercopithecoidea"
"224","pop","Cercopithecus_petaurista","Lesser spot-nosed Monkey","Taï National Park, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,3,"wp","MFF","MFF",0.75,"groups"," ","yes","AR",3.503333333,2.510333333,NA,0.926300887,0.339882823,NA,55.6,NA,22.75,6,12,30.54701295,NA,24.39518395,NA,NA,0.25,1,"Cercopithecoidea"
"226","pop","Cercopithecus_diana","Roloway Monkey","Bia National Park, Ghana","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","one","yes","AR",5.2,3.9,4.55,NA,NA,NA,20.9,NA,6.5,5.7,33.8,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"231","pop","Cheirogaleus_major","Greater Dwarf Lemur","Littoral Rain Forest, Southern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","none","AR",0.5746,0.4433,0.442,NA,NA,0.07597368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"233","pop","Cheirogaleus_medius","Fat Tailed Dwarf Lemur","Kirindy Forest, Western Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,9,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","MF","MF",0.692307692,"solitary","one","none","AR",0.192766667,0.195666667,NA,0.081850249,0.07671358,NA,77.5,6,NA,10,19.5,3.535533906,NA,NA,NA,0.707106781,0.307692308,4,"Lemuroidea"
"234","pop","Cheirogaleus_medius","Fat Tailed Dwarf Lemur","Forestry Station of Ampijoroa, North-Western Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"solitary","one","none","AR",0.192766667,0.195666667,NA,0.081850249,0.07671358,NA,77.5,6,NA,10,19.5,3.535533906,NA,NA,NA,0.707106781,0,0,"Lemuroidea"
"239","pop","Callicebus_lugens","White-chested Titi Monkey","Estacion Biologica Caparu, Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"none","MF","FMM",0.333333333,"groups","one","none","AR",1.32,1.155,NA,0.240416306,0.148492424,NA,59.4,26.9,6.4,3.9,3.4,NA,NA,NA,NA,NA,0.666666667,2,"Ceboidea"
"244","pop","Callicebus_torquatus","White-collared Titi Monkey","Estacion Biologica Callicebus, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",1.28,1.21,1.25,NA,NA,NA,65,NA,15,NA,16,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"245","pop","Callicebus_torquatus","White-collared Titi Monkey","Estacion Biologica Caparu, Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",1.28,1.21,1.25,NA,NA,NA,65,NA,15,NA,16,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"246","pop","Callicebus_torquatus","White-collared Titi Monkey","Southwest of  Iquitos, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",1.28,1.21,1.25,NA,NA,NA,65,NA,15,NA,16,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"247","pop","Callicebus_torquatus","White-collared Titi Monkey","Western Amzon Basin, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",1.28,1.21,1.25,NA,NA,NA,65,NA,15,NA,16,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"251","pop","Chiropotes_satanas","Black Saki","Guri Lake, Venezuela","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",2.953333333,2.736666667,2.885,0.391194751,0.230289673,0.205060967,41.9625,44.36666667,2.7,21.5625,4.6,35.39235734,8.421599215,0.282842712,19.51099583,NA,0,0,"Ceboidea"
"252","pop","Chiropotes_satanas","Black Saki","Tucurui hydroelectric reservoir, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.953333333,2.736666667,2.885,0.391194751,0.230289673,0.205060967,41.9625,44.36666667,2.7,21.5625,4.6,35.39235734,8.421599215,0.282842712,19.51099583,NA,0,0,"Ceboidea"
"255","pop","Chlorocebus_aethiops","Grivet Monkey","Loskop Dam Nature Reserve, South Africa","Forest_Grassland_Savanna_Shrubland",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,3,"none","FFMM","FFMM",1,"groups","one","none","T",5.26,3.365,4.65,0.721248917,0.233345238,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"256","pop","Chlorocebus_aethiops","Grivet Monkey","Ntendeka Wilderness Area, Ngome Forest, South Africa","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","T",5.26,3.365,4.65,0.721248917,0.233345238,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"257","pop","Chlorocebus_aethiops","Grivet Monkey","Lake Nabugabo, Uganda","Artificial_Forest_Grassland_Wetland",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","T",5.26,3.365,4.65,0.721248917,0.233345238,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"258","pop","Chlorocebus_aethiops","Grivet Monkey","Kwazulu Natal, South Africa","Shrubland_Wetland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,11,3,"wp","FFMM","FFMM",0.818181818,"groups","ff","yes","T",5.26,3.365,4.65,0.721248917,0.233345238,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0.181818182,2,"Cercopithecoidea"
"262","pop","Chlorocebus_pygerythrus","Vervet Monkey","Kwazulu Natal, South Africa","Shrubland_Wetland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,2,"none","FFMM","FFMM",1,"groups","one","none","T",4.832222222,3.027142857,4.665,0.72594383,0.276207307,1.463711037,8.45,12.93333333,17.2,22.3,7.7,3.74766594,9.073771726,13.29360749,19.66112916,NA,0,0,"Cercopithecoidea"
"263","pop","Chlorocebus_pygerythrus","Vervet Monkey","Loskop Dam Nature Reserve, South Africa","Forest_Grassland_Savanna_Shrubland",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","T",4.832222222,3.027142857,4.665,0.72594383,0.276207307,1.463711037,8.45,12.93333333,17.2,22.3,7.7,3.74766594,9.073771726,13.29360749,19.66112916,NA,0,0,"Cercopithecoidea"
"264","pop","Chlorocebus_pygerythrus","Vervet Monkey","Lake Nabugabo, Uganda","Artificial_Forest_Grassland_Wetland",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","T",4.832222222,3.027142857,4.665,0.72594383,0.276207307,1.463711037,8.45,12.93333333,17.2,22.3,7.7,3.74766594,9.073771726,13.29360749,19.66112916,NA,0,0,"Cercopithecoidea"
"265","pop","Chlorocebus_pygerythrus","Vervet Monkey","Laikipia Plateau, Kenya","Forest_Savanna_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","T",4.832222222,3.027142857,4.665,0.72594383,0.276207307,1.463711037,8.45,12.93333333,17.2,22.3,7.7,3.74766594,9.073771726,13.29360749,19.66112916,NA,0,0,"Cercopithecoidea"
"269","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Lower Pangani River, Tanzania","Forest",0,1,"closed",1,"Diurnal",8,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MF","MFF",0.5,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0.5,1,"Cercopithecoidea"
"270","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Amani, Tanzania","Forest",0,1,"closed",1,"Diurnal",13,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MF","MFF",0.5,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0.5,1,"Cercopithecoidea"
"271","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Balangai, Tanzania","Forest",0,1,"closed",1,"Diurnal",7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0,0,"Cercopithecoidea"
"272","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Mazumbai, Tanzania","Forest",0,1,"closed",1,"Diurnal",10,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"wp","MFF","MFF",0.666666667,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0.333333333,0,"Cercopithecoidea"
"273","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Shume, Tanzania","Forest",0,1,"closed",1,"Diurnal",5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0,0,"Cercopithecoidea"
"274","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Diani Forest, Kenya","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0,0,"Cercopithecoidea"
"275","pop","Colobus_angolensis","Black-and-White Angolian Colobus","Lake Nabugabo, Uganda","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","ff","none","AR",9.95,7.6,NA,0.212132034,0.282842712,NA,18.4,30.3,49.86666667,7.2,NA,2.6,27.71858582,19.84372277,3.064310689,NA,0,0,"Cercopithecoidea"
"277","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Arusha, Tanzania","Forest",0,1,"closed",1,"Diurnal",21,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,5,1,"wp","MF","FFMM",0.4,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.6,3,"Cercopithecoidea"
"278","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Budongo Forest, Uganda","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","MFF","MFF",0.846153846,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.153846154,2,"Cercopithecoidea"
"279","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Queen Elizabeth National Park, Uganda","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,4,1,"wp","MFF","MFF",0.75,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.25,1,"Cercopithecoidea"
"280","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Bole Valley, Ethiopia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,6,NA,8,NA,2,1,NA,NA,NA,NA,NA,NA,16,2,"wp","MFF","MFF",0.5,"groups","ff","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.5,8,"Cercopithecoidea"
"281","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Kanyawara Forest Station, Uganda","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,9,2,"wp","MFF","MFF",0.666666667,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.333333333,2,"Cercopithecoidea"
"282","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Kakamega Forest, Kenya","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,6,1,18,NA,NA,NA,NA,NA,NA,NA,25,2,"wp","FFMM","FFMM",0.72,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.28,7,"Cercopithecoidea"
"283","pop","Colobus_guereza","Black-and-White Colobus / Mantled Guereza","Kayanbura Gorge, Uganda","Forest_Grassland_Shrubland_Wetland",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,22,NA,2,NA,NA,NA,NA,NA,NA,NA,24,1,"wp","MFF","MFF",0.916666667,"groups","one","none","AR",10.23533333,7.995666667,8.89,0.454318537,0.210490697,NA,25.43333333,15.775,51.5,2.325,1.5,18.60437225,10.18573349,18.0792699,1.400892573,NA,0.083333333,1,"Cercopithecoidea"
"285","pop","Colobus_polykomos","King Colobus","Taï National Park, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,1,"wp","MFF","FFMM",0.5,"groups","one","none","AR",9.1,7.9,NA,1.13137085,0.565685425,NA,41.5,32,53,3,NA,9.192388155,NA,7.071067812,0,NA,0.5,2,"Cercopithecoidea"
"287","pop","Colobus_satanas","Black Colobus","Rio Muni, Republic of Equatorial Guinea","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.675,9.455,8.91,0.899536918,1.429253885,NA,4,51.73333333,36.2,7.433333333,NA,NA,9.089187716,9.236882591,5.750072463,NA,0,0,"Cercopithecoidea"
"288","pop","Colobus_satanas","Black Colobus","Forêt des Abeilles, Gabon","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.675,9.455,8.91,0.899536918,1.429253885,NA,4,51.73333333,36.2,7.433333333,NA,NA,9.089187716,9.236882591,5.750072463,NA,0,0,"Cercopithecoidea"
"289","pop","Colobus_satanas","Black Colobus","Douala Edea Reserve, Cameroon","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","AR",11.675,9.455,8.91,0.899536918,1.429253885,NA,4,51.73333333,36.2,7.433333333,NA,NA,9.089187716,9.236882591,5.750072463,NA,0.5,1,"Cercopithecoidea"
"291","pop","Colobus_vellerosus","Ursine Colobus / Geoffroy’s pied colobus","Boabeng-FiemaMonkeySanctuary_Ghana","Forest_Savanna",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,5,3,"wp","FFMM","FFMM",0.6,"groups","one","yes","AR",8.825,7.275,NA,0.459619408,0.530330086,NA,10.7,4,79,6,NA,NA,NA,NA,NA,NA,0.4,2,"Cercopithecoidea"
"293","pop","Daubentonia_madagascariensis","Aye-Aye","Mananara, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","solitary","MF",0.5,"solitary_groups","one","none","AR",2.6185,2.531,2.545,0.00212132,0.057982756,0.021213203,NA,40.83,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,"Lemuroidea"
"295","pop","Erythrocebus_patas","Patas Monkey","Waza Reserve, Cameroon","Forest_Savanna_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,"wp","MFF","MFF",0.75,"groups","one","none","T",12.4,6.5,NA,NA,NA,NA,5.75,0.6,4.1,37.21,42.7,1.060660172,NA,2.687005769,39.3009949,NA,0.25,1,"Cercopithecoidea"
"296","pop","Erythrocebus_patas","Patas Monkey","La Parguera, Puerto Rico","Forest_Wetland",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,7,2,"wp","MFF","MFF",0.571428571,"groups","one","none","T",12.4,6.5,NA,NA,NA,NA,5.75,0.6,4.1,37.21,42.7,1.060660172,NA,2.687005769,39.3009949,NA,0.428571429,3,"Cercopithecoidea"
"297","pop","Erythrocebus_patas","Patas Monkey","Laikipia District, Kenya","Artifical_Forest_Grassland_Wetland",1,1,"both",4,"Diurnal",2,NA,NA,NA,NA,NA,NA,5,NA,5,1,NA,NA,NA,NA,NA,NA,10,3,"wp","MFF","FFMM",0.5,"groups","ff","yes","T",12.4,6.5,NA,NA,NA,NA,5.75,0.6,4.1,37.21,42.7,1.060660172,NA,2.687005769,39.3009949,NA,0.5,5,"Cercopithecoidea"
"298","pop","Erythrocebus_patas","Patas Monkey","Kala Maloue National Park,Cameroon","Forest_Grassland_Wetland",1,1,"both",3,"Diurnal",1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,"wp","MFF","MFF",1,"groups","ff","yes","T",12.4,6.5,NA,NA,NA,NA,5.75,0.6,4.1,37.21,42.7,1.060660172,NA,2.687005769,39.3009949,NA,0,0,"Cercopithecoidea"
"302","pop","Eulemur_collaris","Red-collared Brown Lemur","Sainte Luce, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.07,2.217,2.18,NA,NA,NA,78.5,NA,4.4,14,3.3,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"303","pop","Eulemur_collaris","Red-collared Brown Lemur","Madena, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,2,"wp","FMM","FMM",0.666666667,"groups","one","none","AR",2.07,2.217,2.18,NA,NA,NA,78.5,NA,4.4,14,3.3,NA,NA,NA,NA,NA,0.333333333,0,"Lemuroidea"
"306","pop","Eulemur_flavifrons","Blue-eyed Black Lemur","Ankarafa Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,1,"none","FFMM","FFMM",1,"groups","one","none","AR",1.920333333,2.073333333,1.84,0.3820999,0.277908858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"308","pop","Eulemur_fulvus","Brown Lemur","Berenty, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,"none","FFMM","FFMM",1,"groups","one","none","AR",1.9085,1.9625,1.84,0.058689863,0.265165043,0.296984848,46.65,NA,48.11,3.415,NA,31.18340905,NA,31.83394729,0.16263456,NA,0,0,"Lemuroidea"
"310","pop","Eulemur_macaco","Black Lemur","Ampasikely, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,1,"wp","FFMM","FFMM",0.8,"groups","one","none","AR",2.303333333,2.27275,2.063333333,0.320334591,0.344257275,0.293995465,71.15,1.2,18.3,4.4,0.88,9.687362902,NA,7.919595949,0.565685425,NA,0.2,0,"Lemuroidea"
"312","pop","Eulemur_mongoz","Mongoose Lemur","Anjamena, Madagascar","Forest",0,1,"closed",1,"Cathemeral_Diurnal_Nocturnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","none","AR",1.285333333,1.4116,1.375,0.220695869,0.183501499,0.148492424,60.83333333,3,25.5,3,2,1.607275127,NA,10.11187421,1.414213562,NA,0,0,"Lemuroidea"
"314","pop","Eulemur_rubriventer","Red-bellied Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,39,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,47,3,"wp","MF","MF",0.829787234,"groups","one","none","AR",2.067,1.96,1.98,NA,NA,NA,79.5,0.04,8.766666667,3.975,NA,14.72243186,NA,3.262029021,5.197234842,NA,0.170212766,8,"Lemuroidea"
"316","pop","Eulemur_rufifrons","Red-fronted Brown Lemur","Kirindy Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.178,2.251,2.15,NA,NA,NA,59.25,NA,29.35,9.45,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"318","pop","Eulemur_rufus","Rufous Brown Lemur","Ranomafana, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,1,"none","FFMM","FFMM",1,"groups","one","none","AR",2.04,2.126666667,2.01,0.217025344,0.249064918,0.36373067,46.06666667,NA,44.71666667,3.1,NA,21.1095555,NA,23.89729762,1.272792206,NA,0,0,"Lemuroidea"
